#  0. Epoch Time
#  1. Bz (nT), GSE
#  2. Flow Speed (km/s), GSE
#  3. Proton density (n/cc) (last currently-available OMNI plasma data Mar 08, 2018)
#
#EPOCH_TIME, BZ,_GSE FLOW_SPEED,_GSE PROTON_DENSITY
#dd-mm-yyyy hh:mm:ss           nT            km/s           n/cc
31-10-2012/05:19:00      -1.84000         277.000        7.46000
31-10-2012/05:20:00      -1.60000         277.000        7.46000
31-10-2012/05:21:00      -1.67000         278.100        7.92000
31-10-2012/05:22:00      -1.67000         278.100        7.92000
31-10-2012/05:23:00      -1.37000             nan            nan
31-10-2012/05:24:00      -1.28000         275.200        8.50000
31-10-2012/05:25:00      -1.68000         275.500        8.45000
31-10-2012/05:26:00      -1.93000         276.300        8.30000
31-10-2012/05:27:00      -1.41000         275.900        8.26000
31-10-2012/05:28:00      -1.19000         278.200        7.95000
31-10-2012/05:29:00      -1.36000         276.500        8.44000
31-10-2012/05:30:00      -1.75000         276.300        8.51000
31-10-2012/05:31:00      -1.69000         279.500        8.52000
31-10-2012/05:32:00      -1.22000         276.300        8.26000
31-10-2012/05:33:00      -1.38000         275.400        8.06000
31-10-2012/05:34:00           nan             nan            nan
31-10-2012/05:35:00      -2.28000         278.500        7.81000
31-10-2012/05:36:00      -1.23000         279.100        8.46000
31-10-2012/05:37:00      -1.14000         279.700        9.02000
31-10-2012/05:38:00      -1.28000             nan            nan
31-10-2012/05:39:00      -1.97000         276.800        8.56000
31-10-2012/05:40:00      -2.76000         278.700        8.19000
31-10-2012/05:41:00      -2.93000         279.500        8.03000
31-10-2012/05:42:00      -3.04000         277.600        7.86000
31-10-2012/05:43:00      -3.13000         277.600        7.86000
31-10-2012/05:44:00      -3.15000         277.700        8.09000
31-10-2012/05:45:00      -3.62000         277.700        8.09000
31-10-2012/05:46:00      -2.75000         276.600        8.18000
31-10-2012/05:47:00      -3.23000         277.000        8.24000
31-10-2012/05:48:00      -3.38000         280.700        8.85000
31-10-2012/05:49:00      -3.06000         279.000        8.92000
31-10-2012/05:50:00      -3.02000         280.700        8.06000
31-10-2012/05:51:00      -2.44000         280.400        7.99000
