#  0 UT keV, cm^-2 s^-1 sr^-1 keV^-1
#  1 J- 37.30 keV, cm^-2 s^-1 sr^-1 keV^-1
#  2 J- 56.70 keV, cm^-2 s^-1 sr^-1 keV^-1
#  3 J- 80.40 keV, cm^-2 s^-1 sr^-1 keV^-1
#  4 J-110.90 keV, cm^-2 s^-1 sr^-1 keV^-1
#  5 J-145.90 keV, cm^-2 s^-1 sr^-1 keV^-1
#  6 J-184.90 keV, cm^-2 s^-1 sr^-1 keV^-1
#  7 J-211.30 keV, cm^-2 s^-1 sr^-1 keV^-1
#  8 J-221.10 keV, cm^-2 s^-1 sr^-1 keV^-1
#  9 J-237.15 keV, cm^-2 s^-1 sr^-1 keV^-1
# 10 J-317.36 keV, cm^-2 s^-1 sr^-1 keV^-1
# 11 J-349.10 keV, cm^-2 s^-1 sr^-1 keV^-1
# 12 J-455.94 keV, cm^-2 s^-1 sr^-1 keV^-1
# 13 J-582.73 keV, cm^-2 s^-1 sr^-1 keV^-1
# 14 Jr- 37.30 keV, cm^-2 s^-1 sr^-1 keV^-1
# 15 Jr- 56.70 keV, cm^-2 s^-1 sr^-1 keV^-1
# 16 Jr- 80.40 keV, cm^-2 s^-1 sr^-1 keV^-1
# 17 Jr-110.90 keV, cm^-2 s^-1 sr^-1 keV^-1
# 18 Jr-145.90 keV, cm^-2 s^-1 sr^-1 keV^-1
# 19 Jr-184.90 keV, cm^-2 s^-1 sr^-1 keV^-1
# 20 Jr-211.30 keV, cm^-2 s^-1 sr^-1 keV^-1
# 21 Jr-221.10 keV, cm^-2 s^-1 sr^-1 keV^-1
# 22 Jr-237.15 keV, cm^-2 s^-1 sr^-1 keV^-1
# 23 Jr-317.36 keV, cm^-2 s^-1 sr^-1 keV^-1
# 24 Jr-349.10 keV, cm^-2 s^-1 sr^-1 keV^-1
# 25 Jr-455.94 keV, cm^-2 s^-1 sr^-1 keV^-1
# 26 Jr-582.73 keV, cm^-2 s^-1 sr^-1 keV^-1
2012-10-31/15:10:48  27117.381  46710.301   2774.764    484.533    322.191    153.206    182.268    129.372    178.170    119.510    142.570     78.402     58.567     -0.243      0.147     -0.069      0.014      0.176     -0.095     -0.026      0.018     -0.008     -0.011      0.020      0.016     -0.047
2012-10-31/15:11:00  27676.566  48445.379   2845.976    463.195    287.405    171.682    194.822    131.215    167.011    123.797    149.600     69.290     61.236     -0.259      0.167     -0.048     -0.027      0.051      0.014      0.042      0.035     -0.073      0.023      0.067     -0.100     -0.004
2012-10-31/15:11:12  28619.604  49346.453   2856.096    481.264    255.220    166.438    209.702    105.995    151.931    141.538    133.453     76.275     68.497     -0.265      0.167     -0.049      0.015     -0.064     -0.016      0.122     -0.166     -0.160      0.164     -0.050     -0.005      0.117
2012-10-31/15:11:24  30437.674  50423.305   2886.291    477.790    298.528    167.946    202.509    108.814    167.980    128.212    132.561     80.583     66.188     -0.252      0.172     -0.042      0.009      0.092     -0.004      0.088     -0.148     -0.075      0.049     -0.058      0.054      0.080
2012-10-31/15:11:36  31966.238  51474.652   2893.156    444.501    264.387    140.347    169.663    119.470    199.782    126.014    145.438     63.602     58.277     -0.248      0.175     -0.043     -0.061     -0.032     -0.166     -0.088     -0.061      0.096      0.027      0.032     -0.168     -0.047
2012-10-31/15:11:48  33331.145  54171.098   2850.786    514.544    283.327    162.124    161.528    146.193    171.530    147.482    125.127     74.997     56.756     -0.251      0.216     -0.058      0.088      0.038     -0.039     -0.133      0.151     -0.066      0.198     -0.116     -0.018     -0.072
2012-10-31/15:12:00  34820.289  54322.301   2972.693    518.020    281.658    138.714    191.848     99.981    184.309    125.182    151.631     72.323     53.791     -0.252      0.200     -0.018      0.099      0.033     -0.177      0.027     -0.219     -0.002      0.012      0.067     -0.053     -0.122
2012-10-31/15:12:12  36861.066  55597.488   3028.173    488.578    281.130    150.150    163.574     93.530    170.995    121.282    114.205     74.509     67.157     -0.244      0.210     -0.001      0.041      0.033     -0.105     -0.126     -0.270     -0.076     -0.025     -0.195     -0.020      0.102
2012-10-31/15:12:24  38101.586  54722.254   3136.090    484.380    259.038    163.127    184.113    104.633    190.155    109.778    129.130     74.434     59.952     -0.253      0.175      0.034      0.031     -0.046     -0.021     -0.020     -0.183      0.023     -0.120     -0.090     -0.020     -0.015
2012-10-31/15:12:36  39741.879  54906.305   3157.486    496.352    279.803    161.838    180.276    120.428    178.155    123.365    145.244     76.104     66.754     -0.256      0.163      0.041      0.058      0.032     -0.025     -0.044     -0.058     -0.049     -0.013      0.021      0.002      0.095
